"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2018","36.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2019","..",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2020","..",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2005","7.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2006","7.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2007","7.4",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2008","7.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2009","9.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2010","10.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2011","10.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2012","10.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2013","9.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2014","7.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2015","6.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2016","5.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2017","4.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2018","3.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2019","3.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","348","HUN","Венгрия","2020","4.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2005","11.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2006","10.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2007","8.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2008","7.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2009","7.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2010","6.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2011","5.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2012","5.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2013","5.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2014","4.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2015","4.4",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2016","3.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2017","3.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2018","3.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2019","3.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","276","DEU","Германия","2020","3.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2005","10.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2006","9.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2007","8.4",
